Steam_id,Total_reviews
730,5993058
570,1599180
1063730,145931
1172470,338236
440,821568
578080,1530629
252490,554535
1623660,5344
271590,1102837
238960,172981
381210,390086
1085660,417292
252950,396998
1793660,1433
346110,377192
1782210,26449
227300,363276
359550,831791
1569040,1942
1506830,8969
1466860,9709
236390,257029
230410,450939
431960,391440
221100,233507
444200,92260
289070,131904
304930,454848
394360,110116
39210,42331
4000,640525
105600,657407
787860,46729
1263850,13031
548430,81701
218620,345551
1454400,15626
413150,338764
480,
594570,71061
306130,89384
489830,82849
892970,242379
594650,82794
377160,162188
739630,285083
291550,251273
292030,514840
582660,36399
8930,109910
236850,68209
960090,119335
294100,97268
251570,130563
261550,135467
10,111163
1203220,54551
813780,80233
526870,63576
1174180,190786
250900,152567
550,390516
386360,91817
107410,153204
438100,111066
255710,129733
281990,81999
427520,102841
1158310,41696
1281930,91358
629520,29427
322330,189338
374320,189753
513710,52970
582010,201359
1091500,387579
440900,50458
1134570,9492
1259970,17847
601510,33948
924970,12960
322170,145671
1100600,16766
444090,312889
1222670,29683
435150,115591
1468810,102481
1172620,146156
1313860,38285
1151340,29762
632360,112385
242760,264327
284160,85999
1293830,69892
1184370,9550
1286830,33098
1644960,6266
244210,42497
275850,168792
1238810,68109
